kana,kanji,word,furigana,definition
あ,安,安全,あん.ぜん,"safety, security"
い,以,以上,い.じょう,"more than"
う,宇,,,
え,衣,,,
お,於,,,
か,加,,,
き,機,掃除機,そう.じ.き,"vacuum cleaner"
く,久,,,
け,計,計画,けい.かく,"plot, plan"
こ,己,自己,じ.こ,"oneself"
さ,左,左翼,さ.よく,"left-wing politics"
し,之,,,
す,寸,寸前,すん.ぜん,"just before, on the verge of"
せ,世,世界,せ.かい,"world"
そ,曽,味噌,み.そ,"miso"
た,太,太陽,たい.よう,"Sun"
ち,知,,,
つ,川,,,
て,天,天使,てん.し,"angel, heavenly messenger"
と,止,止まる,と..,"(to) stop"
な,奈,奈良,な.ら,"Nara (prefecture and city)"
に,仁,二,に,"two"
ぬ,奴,,,
ね,祢,,,
の,乃,,,
は,波,,,
ひ,比,比諭,ひ.ゆ,"simile, metaphor, allegory"
ふ,不,不便,ふ.べん,"inconvenient"
へ,部,部屋,へ.や,"room"
ほ,保,保険,ほ.けん,"insurance (policy)"
ま,末,週末,しゅう.まつ,"weekend"
み,美,絵美,え.み,"Emi (name)"
む,武,,,
め,女,女神,め.がみ,"goddess, female diety"
も,毛,毛布,もう.ふ,"blanket"
ら,良,奈良,な.ら,"Nara (prefecture and city)"
り,利,便利,べん.り,"convenient"
る,留,,,
れ,礼,礼,れい,"thanks, gratitude"
ろ,呂,お風呂,.ふ.ろ,"bath"
や,也,,,
ゆ,由,自由,じ.ゆう,"freedom, liberty"
よ,与,与党,よ.とう,"ruling party"
わ,和,和風,わ.ふう,"Japanese-style"
を,遠,,,
ん,无,,,
